"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp","bat_speed","swing_length","estimated_slg_using_speedangle","delta_pitcher_run_exp","hyper_speed","home_score_diff","bat_score_diff","home_win_exp","bat_win_exp","age_pit_legacy","age_bat_legacy","age_pit","age_bat","n_thruorder_pitcher","n_priorpa_thisgame_player_at_bat","pitcher_days_since_prev_game","batter_days_since_prev_game","pitcher_days_until_next_game","batter_days_until_next_game","api_break_z_with_gravity","api_break_x_arm","api_break_x_batter_in","arm_angle","attack_angle","attack_direction","swing_path_tilt","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
"FF","2026-04-29","90.6","3.37","5.16","Alvarez, Francisco",695734,640455,,"called_strike",,,,,4,,"R","L","L","NYM","WSH","S",,,0,0,2026,"1.28","1.23",-0.7144170619440222,2.509470598670122,691781,682928,,2,6,"Top",,,,,,,-13.002467585484327,-131.2138652918209,-3.1528499374904215,17.50622789278569,28.097178701120196,-17.41373094962394,3.180511811,1.60511811,,,,"91.6",2030,"7.2",823633,682626,683146,543760,666182,677595,669004,621438,701807,"53.32",,,,,,,,56,1,"4-Seam Fastball",2,10,10,2,10,2,10,2,"Standard","Standard",120,"0","-0.036",,,,"0.036",,-8,8,0.008,0.992,34,23,34,24,2,3,5,1,7,1,"1.57","1.28","1.28","19.1",,,,,
"FC","2026-04-28","88.2","-2.76","6.64","Alvarez, Francisco",696285,605280,,"ball",,,,,12,,"R","R","R","NYM","WSH","B",,,0,2,2026,"0.14","-0.03",0.862829647344685,2.824992633327296,,,682928,2,4,"Top",,,,,,,8.363661069286131,-128.3200047691254,-2.9051323425605524,-0.13648248207180277,25.393510222153882,-32.17154635188386,3.187532808,1.608661417,,,,"87.9",2749,"6",823636,682626,668901,543760,666182,677595,669004,701807,683146,"54.47",,,,,,,,26,4,"Cutter",1,0,0,1,0,1,0,1,"Standard","Standard",72,"-0.003","0.009",,,,"-0.009",,1,-1,0.668,0.33199999999999996,33,26,33,27,2,1,6,2,5,1,"2.96","-0.14","-0.14","49.2",,,,,
"FF","2026-04-26","95.1","-1.95","6.04","Alvarez, Francisco",691720,673540,,"ball",,,,,14,,"R","R","R","NYM","COL","B",,,0,0,2026,"-0.75","1.31",0.04047856994874177,1.5777212957342595,666160,,,2,3,"Top",,,,,,,6.864900007532095,-138.0786789120845,-8.685374090178565,-11.24559847487513,33.27918995324489,-13.662996002509896,3.431512467,1.731791339,,,,"94.5",2202,"6.3",823637,682626,683146,543760,666182,677595,669004,621438,701807,"54.22",,,,,,,,23,1,"4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard",216,"-0.001","0.028",,,,"-0.028",,-3,3,0.212,0.788,33,23,33,24,2,1,9,0,,2,"1.24","0.75","0.75","49.3",,,,,
"SI","2026-04-26","96.6","-1.4","5.97","Torrens, Luis",687597,623211,,"ball",,,,,13,,"R","R","R","NYM","COL","B",,,0,1,2026,"-1.69","1.03",-0.23362420459537359,1.4857103057131322,,,664983,1,7,"Top",,,,,,,6.900812578097661,-140.09080651031803,-8.260878637160173,-23.825146174449287,38.61773161591431,-16.736518692394146,3.316543635,1.673769685,,,,"94.5",2313,"5.8",823635,620443,668901,543760,683146,666182,502054,673357,621438,"54.74",,,,,,,,49,2,"Sinker",1,3,3,1,3,1,3,1,"Standard","Standard",227,"-0.002","0.019",,,,"-0.019",,-2,2,0.187,0.813,36,25,37,25,1,2,3,2,5,2,"1.47","1.69","1.69","42.2",,,,,
"FF","2026-04-24","88.9","3.04","5.29","Alvarez, Francisco",696100,640455,"strikeout","called_strike",,,,,9,"Francisco Alvarez challenged (pitch result), call on the field was overturned: Hunter Goodman called out on strikes.","R","R","L","NYM","COL","S",2,,0,2,2026,"0.9","1.17",0.5948746903195338,1.6277918057928338,,,686668,1,8,"Top",,,,,,,-7.931126718585425,-129.06640663243857,-5.195992741892615,11.761873038503975,28.37024999309823,-18.205242435583752,3.178756562,1.604232283,,,,"89.8",1935,"7.1",823638,682626,668901,543760,666182,677595,701807,621438,683146,"53.43",,0,"0",1,0,0,,64,3,"4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard",126,"0.005","-0.168",,,,"0.168",,-3,3,0.075,0.925,34,26,34,27,2,4,7,2,5,2,"1.74","0.9","-0.9","22.2",,,,,
"FF","2026-04-19","94.3","-2.21","5.35","Torrens, Luis",673548,642207,,"called_strike",,,,,3,,"R","R","R","CHC","NYM","S",,,0,1,2026,"-0.8","1.27",0.4242576847408325,3.298120188041411,,,664068,0,9,"Bot",,,,,,,8.742078576510924,-137.03254917308743,-2.2959988158680438,-12.097576219240224,33.100187595169096,-15.991920778524168,3.177878937,1.60378937,,,,"95.7",2380,"7.4",824691,620443,668901,543760,666182,596019,502054,673357,621438,"53.11",,,,,,,,65,2,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard",225,"-0.031","-0.053",,,,"0.053",,-1,-1,0.32,0.32,31,31,32,32,1,3,4,1,2,1,"1.32","0.8","0.8","25.8",,,,,
"SL","2026-04-18","81.9","-3.63","4.73","Alvarez, Francisco",673548,642547,"walk","ball",,,,,14,"Francisco Alvarez challenged (pitch result), call on the field was confirmed: Seiya Suzuki walks. Ian Happ to 2nd.","R","R","R","CHC","NYM","B",,,3,2,2026,"0.41","0.42",0.8363810850918213,1.4048330858495852,,,664023,2,6,"Bot",,,,,,,9.184150404273513,-119.04982508779132,-1.575474376199114,2.14676561435895,22.33863485313708,-28.05360288666497,3.177878937,1.60378937,,,,"82.2",2504,"6.5",824694,682626,668901,543760,666182,596019,701807,673357,683146,"54.03",,0.704799,"0.7",1,0,0,,47,6,"Slider",1,1,1,1,1,1,1,1,"Strategic","Standard",79,"0.026","0.24",,,,"-0.24",,0,0,0.54,0.54,30,31,30,32,3,2,6,1,6,1,"2.98","-0.41","-0.41","26.3",,,,,
"FO","2026-04-17","82.5","-1.98","5.93","Alvarez, Francisco",664023,673540,,"ball",,,,,13,,"R","L","R","CHC","NYM","B",,,0,2,2026,"-0.72","-0.37",-0.8505417863719847,1.7040198234611683,,,,0,3,"Bot",,,,,,,3.972083367655787,-120.03745733321735,-2.089423184533679,-7.763164501032756,24.665387883475212,-35.541074286555876,3.136630577,1.582972441,,,,"82.4",1145,"6.3",824693,682626,683146,543760,666182,596019,621438,673357,701807,"54.15",,,,,,,,26,3,"Forkball",6,3,6,3,3,6,6,3,"Strategic","Standard",252,"0.001","0.024",,,,"-0.024",,3,3,0.835,0.835,33,31,33,32,2,1,6,2,9,1,"3.74","0.72","-0.72","45.0",,,,,
"FC","2026-04-17","88.4","-1.68","6.03","Alvarez, Francisco",683737,673540,,"called_strike",,,,,4,,"R","L","R","CHC","NYM","S",,,3,1,2026,"0.06","0.38",-0.6603681773244954,2.30652860270804,,,,1,1,"Bot",,,,,,,2.3376236090398668,-128.78839586548145,-3.6227342953126893,0.1711586476361566,25.61708688672009,-27.41966755616579,3.166469816,1.598031496,,,,"88.7",2432,"6.3",824693,682626,683146,543760,666182,596019,621438,673357,701807,"54.19",,,,,,,,6,5,"Cutter",0,0,0,0,0,0,0,0,"Infield shade","Standard",194,"-0.006","-0.087",,,,"0.087",,0,0,0.536,0.536,33,28,33,29,1,0,6,2,9,1,"2.52","-0.06","0.06","50.0",,,,,
"SI","2026-04-15","94.1","-1.06","6.54","Alvarez, Francisco",690976,605280,,"ball",,,,,14,,"R","L","R","LAD","NYM","B",,,0,2,2026,"-1.49","0.01",0.5730366891518011,1.4548128753413003,,,,2,2,"Bot",,,,,,,7.477946520642763,-136.6368054891322,-7.138578555214237,-20.33908727746796,31.26688799864888,-30.590224948874848,3.184899934,1.607332677,,,,"93.2",2117,"6",823963,682626,683146,543760,666182,596019,502054,673357,701807,"54.53",,,,,,,,15,3,"Sinker",2,0,2,0,0,2,2,0,"Strategic","Standard",236,"0.001","0.022",,,,"-0.022",,2,2,0.717,0.717,33,24,33,25,1,0,5,1,7,2,"2.58","1.49","-1.49","43.0",,,,,
