,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,mlbID
302,Mickey Moniak,28,0,Maj-NL,Colorado,36,141,130,21,40,8,2,12,26,9,0,37,1,0,1,3,1,0,0.308,0.355,0.677,1.032,666160
303,Colson Montgomery,24,1,Maj-AL,Chicago,42,175,152,20,35,8,0,11,29,16,2,51,7,0,0,2,1,1,0.23,0.331,0.5,0.831,695657
304,Dylan Moore,33,13,Maj-NL,Philadelphia,13,15,12,3,0,0,0,0,0,3,0,6,0,0,0,0,1,0,0.0,0.2,0.0,0.2,664238
305,Christopher Morel,27,0,Maj-NL,Miami,11,38,35,2,6,1,0,0,1,2,0,14,1,0,0,0,1,0,0.171,0.237,0.2,0.437,666624
306,Gabriel Moreno,26,1,Maj-NL,Arizona,23,82,74,8,16,6,0,1,9,5,0,19,1,0,2,0,1,0,0.216,0.268,0.338,0.606,672515
307,Ryan Mountcastle,29,33,Maj-AL,Baltimore,8,15,14,0,4,1,0,0,1,1,0,2,0,0,0,0,0,0,0.286,0.333,0.357,0.69,663624
308,Cedric Mullins,31,1,Maj-AL,Tampa Bay,37,141,127,10,19,2,1,2,13,6,0,26,3,3,1,1,8,5,0.15,0.204,0.228,0.433,656775
309,Max Muncy,35,0,Maj-NL,Los Angeles,41,160,139,29,37,5,0,11,17,21,1,39,0,0,0,1,0,0,0.266,0.363,0.54,0.902,571970
310,Max Muncy,23,19,Maj-AL,Athletics,26,104,92,15,22,5,2,2,7,6,0,37,4,0,2,3,2,1,0.239,0.308,0.402,0.71,691777
311,Munetaka Murakami,26,0,Maj-AL,Chicago,43,186,150,29,34,1,0,15,29,35,4,63,0,0,1,1,0,2,0.227,0.371,0.533,0.904,808959
313,Sean Murphy,31,4,Maj-NL,Atlanta,4,14,14,1,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0.071,0.071,0.071,0.143,669221
314,Tanner Murray,26,18,Maj-AL,Chicago,13,33,28,2,6,0,0,1,3,2,1,7,1,1,1,0,0,0,0.214,0.281,0.321,0.603,695020
315,Dane Myers,30,0,Maj-NL,Cincinnati,35,70,58,13,13,0,0,2,7,10,0,17,2,0,0,3,2,0,0.224,0.357,0.328,0.685,667472
316,Carlos Narv\xc3\xa1ez,27,0,Maj-AL,Boston,28,92,84,9,18,4,0,2,3,5,0,25,2,1,0,3,1,0,0.214,0.275,0.333,0.608,665966
317,Bo Naylor,26,7,Maj-AL,Cleveland,28,90,84,4,12,2,0,2,7,6,0,21,0,0,0,2,0,0,0.143,0.2,0.238,0.438,666310
318,Josh Naylor,29,0,Maj-AL,Seattle,42,183,166,12,41,5,0,5,20,15,1,30,1,0,1,6,8,2,0.247,0.311,0.367,0.679,647304
319,Zach Neto,25,1,Maj-AL,Los Angeles,44,203,174,29,39,9,1,7,20,26,1,63,2,0,1,0,7,4,0.224,0.33,0.408,0.738,687263
320,Brandon Nimmo,33,1,Maj-AL,Texas,41,181,160,18,45,7,2,4,12,17,1,35,3,0,1,3,1,1,0.281,0.359,0.425,0.784,607043
